관리번호,기준연도,읍면동,읍면동코드,리,지목,경작연도,경작면적,실제면적
8205,2022,남이면,45500370000,상금리,전,2018,1648,1716.51
8461,2022,남이면,45500370000,매곡리,답,2020,3111,3662.61
8717,2022,군북면,45500350000,두두리,전,2018,2442,2442.89
8973,2022,남일면,45500360000,신정리,천,2020,677,677.95
9229,2022,금성면,45500320000,화림리,임,2020,261,54001.43
9485,2022,금산읍,45500310000,음지리,답,2020,96,2250.19
9741,2022,남이면,45500370000,구석리,임,2020,5,1390.45
14,2022,추부면,45500400000,비례리,도,2022,21,21.44
270,2022,진산면,45500380000,석막리,답,2022,1164,2058.28
526,2022,제원면,45500330000,명암리,답,2022,1490,1490.03
782,2022,제원면,45500330000,저곡리,답,2022,1498,1498.56
1038,2022,부리면,45500340000,선원리,답,2022,1741,1741.91
1294,2022,부리면,45500340000,평촌리,답,2022,3867,3867.86
1550,2022,금성면,45500320000,의총리,전,2020,142,4475.17
1806,2022,남일면,45500360000,황풍리,답,2022,736,736.4
2062,2022,남일면,45500360000,황풍리,답,2020,1846,1846.27
2318,2022,제원면,45500330000,금성리,구,2020,162,221.35
2574,2022,제원면,45500330000,용화리,대,2021,337,989.34
2830,2022,남이면,45500370000,역평리,천,2022,13,18281.87
3086,2022,부리면,45500340000,불이리,답,2020,1808,1999.08
3342,2022,금성면,45500320000,파초리,답,2022,2210,2210.63
3598,2022,금산읍,45500310000,음지리,답,2022,2006,2006.02
3854,2022,금산읍,45500310000,상옥리,전,2022,1237,1237.72
4110,2022,부리면,45500340000,방우리,답,2020,83,83.72
4366,2022,금산읍,45500310000,음지리,답,2020,1385,1385.92
4622,2022,남이면,45500370000,흑암리,천,2018,44,44.07
4878,2022,금성면,45500320000,의총리,답,2018,2512,2512.65
5134,2022,군북면,45500350000,산안리,전,2017,946,1078.45
5390,2022,남일면,45500360000,신정리,전,2018,911,911.96
5646,2022,군북면,45500350000,호티리,전,2019,1726,2110.08
5902,2022,군북면,45500350000,천을리,답,2018,511,511.13
6158,2022,제원면,45500330000,금성리,답,2020,1617,1617.92
6414,2022,제원면,45500330000,수당리,답,2019,588,588.27
6670,2022,제원면,45500330000,수당리,구,2020,401,401.39
6926,2022,부리면,45500340000,창평리,답,2020,73,73.14
7182,2022,금성면,45500320000,파초리,답,2020,1976,1976.32
7438,2022,군북면,45500350000,호티리,답,2020,722,722.25
7694,2022,부리면,45500340000,현내리,답,2020,124,124.43
7950,2022,군북면,45500350000,외부리,답,2020,2685,2685.97
8206,2022,남이면,45500370000,건천리,답,2019,2220,2220.07
8462,2022,남이면,45500370000,매곡리,전,2020,1718,0.0
8718,2022,군북면,45500350000,두두리,답,2018,824,824.14
8974,2022,남일면,45500360000,신정리,답,2020,1146,1146.1
9230,2022,금성면,45500320000,화림리,도,2020,31,2739.96
9486,2022,금산읍,45500310000,음지리,임,2020,182,1573.66
9742,2022,남이면,45500370000,구석리,임,2020,46,1390.45
15,2022,추부면,45500400000,비례리,도,2022,77,77.96
271,2022,진산면,45500380000,막현리,천,2020,180,180.98
527,2022,제원면,45500330000,제원리,답,2022,3154,3154.66
783,2022,제원면,45500330000,저곡리,답,2022,1202,1202.2
1039,2022,부리면,45500340000,선원리,답,2022,1170,1170.85
1295,2022,부리면,45500340000,평촌리,답,2022,2525,2525.18
1551,2022,,,,임,2020,434,813.01
1807,2022,남일면,45500360000,황풍리,답,2022,4274,4274.68
2063,2022,남일면,45500360000,황풍리,답,2020,973,973.15
2319,2022,제원면,45500330000,금성리,전,2020,580,1023.62
2575,2022,제원면,45500330000,용화리,전,2021,1236,1774.29
2831,2022,남이면,45500370000,역평리,답,2022,2,1501.34
3087,2022,부리면,45500340000,불이리,전,2020,158,638.61
3343,2022,금성면,45500320000,파초리,답,2022,710,710.18
3599,2022,금산읍,45500310000,음지리,임,2022,65,773.3
3855,2022,금산읍,45500310000,하옥리,전,2022,332,332.65
4111,2022,부리면,45500340000,방우리,답,2020,4,4.24
4367,2022,금산읍,45500310000,음지리,답,2018,1779,1779.66
4623,2022,복수면,45500390000,수영리,답,2018,1236,1839.62
4879,2022,금성면,45500320000,마수리,전,2016,2420,3000.9
5135,2022,제원면,45500330000,천내리,답,2018,1931,1931.77
5391,2022,남일면,45500360000,신정리,답,2018,2382,2948.16
5647,2022,군북면,45500350000,내부리,전,2017,307,307.13
5903,2022,군북면,45500350000,천을리,답,2018,722,722.63
6159,2022,제원면,45500330000,용화리,답,2020,1174,1174.93
6415,2022,제원면,45500330000,수당리,답,2018,1477,1477.28
6671,2022,제원면,45500330000,수당리,답,2020,1235,1235.73
6927,2022,부리면,45500340000,창평리,전,2020,748,748.27
7183,2022,금성면,45500320000,파초리,답,2020,1010,1010.89
7439,2022,군북면,45500350000,호티리,답,2020,1461,1461.81
7695,2022,부리면,45500340000,현내리,답,2020,1124,1124.2
7951,2022,군북면,45500350000,외부리,답,2020,3821,3821.31
8207,2022,남이면,45500370000,건천리,답,2019,2150,2150.12
8463,2022,부리면,45500340000,수통리,답,2020,910,981.08
8719,2022,군북면,45500350000,두두리,답,2018,820,820.02
8975,2022,남일면,45500360000,신정리,천,2020,418,459.32
9231,2022,금성면,45500320000,화림리,임,2020,418,9041.3
9487,2022,금산읍,45500310000,음지리,구,2020,382,3101.22
9743,2022,남일면,45500360000,신동리,답,2020,435,935.78
16,2022,추부면,45500400000,비례리,도,2022,69,69.56
